t_s,x_m,z_m,vx,vz,mach,miss_distance_m
70.18,9768.43221278506,67.20998048266465,-49.96059472811353,-0.34374508870326625,0.14682117386036675,9768.663423276148
70.19,9767.932606837778,67.20654303177763,-49.96059472815273,-0.3437450887024334,0.1468211738604819,9768.163805503618
70.2,9767.433000890496,67.20310558089061,-49.96059472819145,-0.3437450887016105,0.1468211738605957,9767.66418773109
70.21000000000001,9766.933394943215,67.1996681300036,-49.960594728229715,-0.34374508870079745,0.14682117386070812,9767.164569958559
70.22,9766.433788995932,67.1962306791166,-49.960594728267516,-0.3437450886999941,0.1468211738608192,9766.664952186027
70.23,9765.934183048648,67.1927932282296,-49.96059472830486,-0.34374508869920034,0.14682117386092894,9766.165334413497
70.24,9765.434577101365,67.18935577734263,-49.96059472834176,-0.343745088698416,0.14682117386103735,9765.665716640966
70.25,9764.934971154082,67.18591832645565,-49.96059472837822,-0.3437450886976411,0.14682117386114446,9765.166098868434
70.26,9764.435365206798,67.18248087556869,-49.960594728414236,-0.3437450886968754,0.1468211738612503,9764.666481095901
70.27,9763.935759259513,67.17904342468172,-49.96059472844982,-0.3437450886961189,0.14682117386135482,9764.166863323368
70.28,9763.436153312228,67.17560597379477,-49.96059472848498,-0.3437450886953714,0.14682117386145815,9763.667245550834
70.29,9762.936547364943,67.17216852290782,-49.96059472851971,-0.3437450886946328,0.14682117386156016,9763.1676277783
70.3,9762.436941417658,67.16873107202089,-49.96059472855403,-0.3437450886939031,0.14682117386166102,9762.66801000577
70.31,9761.937335470373,67.16529362113396,-49.960594728587935,-0.34374508869318204,0.14682117386176063,9762.168392233234
70.32000000000001,9761.437729523086,67.16185617024703,-49.96059472862143,-0.3437450886924696,0.14682117386185906,9761.6687744607
70.33,9760.9381235758,67.15841871936011,-49.96059472865453,-0.3437450886917657,0.14682117386195628,9761.169156688164
70.34,9760.438517628512,67.15498126847321,-49.96059472868723,-0.3437450886910702,0.14682117386205237,9760.669538915628
70.35000000000001,9759.938911681225,67.1515438175863,-49.96059472871953,-0.34374508869038295,0.14682117386214727,9760.169921143093
70.36,9759.439305733938,67.14810636669941,-49.960594728751445,-0.34374508868970394,0.14682117386224103,9759.670303370558
70.37,9758.93969978665,67.14466891581252,-49.96059472878298,-0.34374508868903303,0.1468211738623337,9759.170685598021
70.38,9758.440093839361,67.14123146492564,-49.96059472881413,-0.3437450886883701,0.1468211738624252,9758.671067825484
70.39,9757.940487892072,67.13779401403876,-49.96059472884491,-0.34374508868771514,0.14682117386251567,9758.171450052947
70.4,9757.440881944784,67.1343565631519,-49.96059472887532,-0.343745088687068,0.14682117386260504,9757.67183228041
70.41,9756.941275997495,67.13091911226503,-49.96059472890536,-0.34374508868642856,0.1468211738626933,9757.172214507873
70.42,9756.441670050206,67.12748166137817,-49.96059472893504,-0.34374508868579673,0.14682117386278049,9756.672596735336
70.43,9755.942064102916,67.12404421049132,-49.96059472896437,-0.34374508868517245,0.14682117386286664,9756.172978962799
70.44,9755.442458155625,67.12060675960447,-49.96059472899334,-0.34374508868455567,0.1468211738629518,9755.673361190258
70.45,9754.942852208334,67.11716930871764,-49.96059472902197,-0.3437450886839462,0.14682117386303592,9755.17374341772
70.46000000000001,9754.443246261044,67.1137318578308,-49.96059472905025,-0.343745088683344,0.146821173863119,9754.67412564518
70.47,9753.943640313753,67.11029440694398,-49.96059472907819,-0.34374508868274906,0.1468211738632011,9754.174507872642
70.48,9753.444034366463,67.10685695605716,-49.96059472910579,-0.3437450886821612,0.1468211738632822,9753.674890100103
70.49,9752.944428419172,67.10341950517034,-49.960594729133064,-0.3437450886815803,0.14682117386336233,9753.175272327564
70.5,9752.44482247188,67.09998205428353,-49.96059472916001,-0.3437450886810064,0.14682117386344148,9752.675654555023
70.51,9751.945216524588,67.09654460339672,-49.96059472918663,-0.34374508868043935,0.1468211738635197,9752.176036782483
70.52,9751.445610577295,67.09310715250993,-49.960594729212936,-0.3437450886798791,0.14682117386359697,9751.676419009942
70.53,9750.946004630003,67.08966970162314,-49.96059472923892,-0.34374508867932546,0.14682117386367335,9751.176801237401
70.54,9750.44639868271,67.08623225073634,-49.96059472926459,-0.34374508867877845,0.14682117386374877,9750.67718346486
70.55,9749.946792735418,67.08279479984957,-49.96059472928996,-0.343745088678238,0.1468211738638233,9750.17756569232
70.56,9749.447186788126,67.07935734896279,-49.96059472931502,-0.343745088677704,0.14682117386389693,9749.67794791978
70.57000000000001,9748.947580840832,67.07591989807601,-49.960594729339775,-0.34374508867717635,0.14682117386396965,9749.178330147237
70.58,9748.447974893537,67.07248244718924,-49.96059472936424,-0.343745088676655,0.14682117386404153,9748.678712374694
70.59,9747.948368946243,67.06904499630248,-49.960594729388404,-0.3437450886761399,0.14682117386411256,9748.179094602152
70.60000000000001,9747.448762998949,67.06560754541573,-49.96059472941228,-0.3437450886756309,0.1468211738641827,9747.67947682961
70.61,9746.949157051655,67.06217009452898,-49.96059472943587,-0.34374508867512804,0.146821173864252,9747.179859057067
70.62,9746.44955110436,67.05873264364223,-49.960594729459174,-0.34374508867463116,0.14682117386432048,9746.680241284525
70.63,9745.949945157066,67.0552951927555,-49.9605947294822,-0.3437450886741402,0.14682117386438817,9746.180623511982
70.64,9745.450339209772,67.05185774186876,-49.960594729504955,-0.3437450886736551,0.146821173864455,9745.68100573944
70.65,9744.950733262476,67.04842029098202,-49.96059472952743,-0.3437450886731758,0.14682117386452104,9745.181387966895
70.66,9744.45112731518,67.0449828400953,-49.96059472954963,-0.34374508867270226,0.14682117386458626,9744.681770194351
70.67,9743.951521367884,67.04154538920858,-49.960594729571575,-0.34374508867223436,0.14682117386465077,9744.182152421807
70.68,9743.451915420588,67.03810793832186,-49.960594729593254,-0.343745088671772,0.14682117386471444,9743.682534649262
70.69,9742.952309473292,67.03467048743515,-49.96059472961467,-0.3437450886713152,0.14682117386477736,9743.182916876718
70.7,9742.452703525996,67.03123303654844,-49.96059472963583,-0.34374508867086384,0.14682117386483953,9742.683299104174
70.71000000000001,9741.9530975787,67.02779558566174,-49.960594729656734,-0.34374508867041786,0.14682117386490096,9742.18368133163
70.72,9741.453491631404,67.02435813477504,-49.96059472967738,-0.3437450886699772,0.14682117386496163,9741.684063559085
70.73,9740.953885684106,67.02092068388835,-49.96059472969779,-0.34374508866954184,0.14682117386502158,9741.184445786539
70.74,9740.454279736809,67.01748323300166,-49.96059472971795,-0.34374508866911163,0.1468211738650808,9740.684828013993
70.75,9739.95467378951,67.01404578211496,-49.96059472973786,-0.3437450886686866,0.14682117386513932,9740.185210241447
70.76,9739.455067842213,67.01060833122828,-49.96059472975754,-0.3437450886682666,0.14682117386519714,9739.6855924689
70.77,9738.955461894915,67.0071708803416,-49.96059472977698,-0.34374508866785164,0.14682117386525426,9739.185974696355
70.78,9738.455855947617,67.00373342945493,-49.960594729796185,-0.34374508866744163,0.14682117386531068,9738.686356923808
70.79,9737.95625000032,67.00029597856826,-49.96059472981516,-0.3437450886670365,0.14682117386536644,9738.186739151262
70.8,9737.456644053022,66.9968585276816,-49.960594729833915,-0.3437450886666362,0.1468211738654215,9737.687121378716
70.81,9736.957038105724,66.99342107679493,-49.96059472985244,-0.3437450886662407,0.14682117386547597,9737.18750360617
70.82000000000001,9736.457432158426,66.98998362590827,-49.960594729870735,-0.3437450886658499,0.14682117386552973,9736.687885833624
70.83,9735.957826211126,66.98654617502162,-49.96059472988882,-0.34374508866546377,0.14682117386558285,9736.188268061076
70.84,9735.458220263827,66.98310872413496,-49.96059472990668,-0.3437450886650823,0.14682117386563534,9735.688650288528
70.85000000000001,9734.958614316527,66.97967127324831,-49.96059472992433,-0.3437450886647054,0.1468211738656872,9735.18903251598
70.86,9734.459008369227,66.97623382236168,-49.96059472994177,-0.34374508866433295,0.14682117386573845,9734.689414743432
70.87,9733.959402421928,66.97279637147504,-49.96059472995899,-0.34374508866396497,0.14682117386578902,9734.189796970884
70.88,9733.459796474628,66.9693589205884,-49.96059472997601,-0.3437450886636014,0.14682117386583904,9733.690179198336
70.89,9732.960190527328,66.96592146970177,-49.96059472999282,-0.3437450886632421,0.14682117386588842,9733.190561425788
70.9,9732.460584580029,66.96248401881515,-49.96059473000943,-0.3437450886628871,0.14682117386593724,9732.69094365324
70.91,9731.96097863273,66.95904656792852,-49.960594730025846,-0.3437450886625364,0.14682117386598545,9732.191325880693
70.92,9731.46137268543,66.9556091170419,-49.96059473004206,-0.34374508866218983,0.1468211738660331,9731.691708108145
70.93,9730.961766738128,66.95217166615528,-49.960594730058084,-0.34374508866184744,0.14682117386608018,9731.192090335595
70.94,9730.462160790827,66.94873421526866,-49.960594730073915,-0.3437450886615091,0.1468211738661267,9730.692472563045
70.95,9729.962554843525,66.94529676438205,-49.960594730089554,-0.3437450886611748,0.14682117386617266,9730.192854790495
70.96000000000001,9729.462948896224,66.94185931349544,-49.960594730105,-0.3437450886608445,0.14682117386621804,9729.693237017946
70.97,9728.963342948922,66.93842186260883,-49.96059473012026,-0.34374508866051817,0.14682117386626287,9729.193619245396
70.98,9728.46373700162,66.93498441172223,-49.96059473013534,-0.3437450886601957,0.1468211738663072,9728.694001472846
70.99,9727.96413105432,66.93154696083563,-49.96059473015024,-0.34374508865987713,0.14682117386635096,9728.194383700296
71.0,9727.464525107018,66.92810950994904,-49.96059473016496,-0.3437450886595623,0.1468211738663942,9727.694765927747
71.01,9726.964919159716,66.92467205906244,-49.96059473017951,-0.3437450886592513,0.14682117386643695,9727.195148155197
71.02,9726.465313212415,66.92123460817585,-49.960594730193876,-0.343745088658944,0.14682117386647917,9726.695530382647
71.03,9725.965707265113,66.91779715728927,-49.96059473020807,-0.34374508865864034,0.14682117386652088,9726.195912610097
71.04,9725.466101317812,66.91435970640269,-49.9605947302221,-0.3437450886583403,0.1468211738665621,9725.696294837548
